"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81"
358.4374 358.7452 359.0567 359.3721 359.6911 360.0138 360.34 360.6698 361.0029 361.3393 361.6789 362.0214 362.3667 362.7146 363.0647 363.4168 363.7706 364.1257 364.4816 364.8379 365.194 365.5492 365.903 366.2544 366.6025 366.9465 367.2851 367.617 367.941 368.2552 368.558 368.8474 369.121 369.3764 369.6107 369.8207 370.0029 370.1533 370.2673 370.34 370.3657 370.338 370.2499 370.0934 369.8596 369.5384 369.1186 368.5877 367.9314 367.1342 366.1783 365.044 363.7095 362.1503 360.3394 358.2468 355.8397 353.0816 349.9333 346.352 342.2916 337.7033 332.5359 326.7364 320.2513 313.0279 305.0164 296.172 286.4585 275.8509 264.3395 251.9338 238.6661 224.5946 209.8054 194.4128 178.5574 162.4015 146.122 129.9005 113.9106
349.7448 350.2548 350.7723 351.2971 351.8293 352.3688 352.9155 353.4694 354.0302 354.5979 355.1723 355.7531 356.34 356.9327 357.5308 358.1338 358.7412 359.3523 359.9664 360.5827 361.2003 361.818 362.4347 363.0489 363.659 364.2633 364.8597 365.4459 366.0193 366.577 367.1157 367.6318 368.1209 368.5784 368.9991 369.3769 369.7054 369.9769 370.1832 370.3149 370.3614 370.3112 370.1511 369.8666 369.4415 368.8577 368.0954 367.1324 365.9444 364.5047 362.7842 360.751 358.3706 355.6061 352.4182 348.7651 344.6035 339.8889 334.5765 328.6221 321.9835 314.6226 306.5067 297.611 287.9213 277.436 266.169 254.1516 241.4345 228.0884 214.204 199.891 185.2749 170.4936 155.6916 141.0143 126.6014 112.5799 99.0578 86.1189 73.8186
341.4357 342.1248 342.8251 343.5367 344.2595 344.9935 345.7388 346.4953 347.2629 348.0414 348.8307 349.6306 350.4407 351.2606 352.0898 352.9279 353.7741 354.6276 355.4876 356.3529 357.2222 358.0942 358.967 359.8389 360.7075 361.5703 362.4244 363.2664 364.0926 364.8987 365.6798 366.4302 367.1439 367.8135 368.4311 368.9875 369.4726 369.8748 370.181 370.3768 370.4458 370.3696 370.1281 369.6985 369.0557 368.1719 367.0167 365.5566 363.7554 361.5739 358.9701 355.8995 352.3155 348.1701 343.4148 338.0014 331.884 325.0206 317.3747 308.9187 299.6356 289.522 278.5909 266.8736 254.4218 241.3081 227.626 213.4884 199.0247 184.377 169.6944 155.1276 140.822 126.9125 113.5172 100.7335 88.6351 77.27 66.6606 56.8048 47.6785
332.541 333.4103 334.295 335.1952 336.111 337.0425 337.9897 338.9528 339.9316 340.9261 341.9361 342.9613 344.0015 345.0563 346.1252 347.2074 348.3023 349.4089 350.526 351.6524 352.7864 353.9262 355.0696 356.2142 357.357 358.4946 359.6232 360.7385 361.8351 362.9075 363.9488 364.9516 365.9072 366.8057 367.6362 368.386 369.0409 369.5849 370 370.2661 370.3605 370.258 369.9309 369.3481 368.4758 367.2768 365.7109 363.7348 361.3022 358.3645 354.871 350.7703 346.0108 340.5426 334.3189 327.2986 319.4482 310.745 301.1793 290.7575 279.5041 267.4642 254.7041 241.3114 227.3941 213.0778 198.5021 183.8155 169.1702 154.7154 140.5918 126.9262 113.827 101.3813 89.6525 78.6805 68.4822 59.0529 50.3698 42.3948 35.0795
322.2721 323.3336 324.4158 325.519 326.6435 327.7894 328.9569 330.1463 331.3576 332.5909 333.846 335.1229 336.4213 337.7408 339.081 340.4412 341.8205 343.2179 344.6322 346.0616 347.5045 348.9584 350.4207 351.8883 353.3575 354.824 356.2828 357.728 359.1531 360.5501 361.9103 363.2235 364.478 365.6605 366.7559 367.7471 368.6146 369.3366 369.8883 370.2424 370.368 370.2312 369.7945 369.0166 367.8531 366.2559 364.1737 361.5529 358.3378 354.4719 349.8995 344.5669 338.4252 331.432 323.5548 314.7735 305.0837 294.4989 283.0533 270.8028 257.8262 244.2237 230.1156 215.6381 200.9394 186.1739 171.4961 157.0546 142.9866 129.4131 116.4353 104.1325 92.5607 81.7538 71.724 62.4648 53.9533 46.1533 39.0192 32.4996 26.5427
313.4869 314.7072 315.9527 317.2237 318.5207 319.8441 321.1941 322.5711 323.9754 325.4069 326.8659 328.3523 329.8659 331.4066 332.9738 334.5669 336.1851 337.8273 339.4922 341.178 342.8827 344.6037 346.338 348.082 349.8314 351.5811 353.3253 355.0569 356.7679 358.449 360.0892 361.6762 363.1955 364.6307 365.963 367.1709 368.2302 369.1133 369.7894 370.2239 370.3781 370.2096 369.6714 368.7128 367.2786 365.3107 362.7478 359.5267 355.584 350.8575 345.2887 338.8252 331.4243 323.0556 313.7053 303.3789 292.104 279.9331 266.944 253.2392 238.9448 224.2058 209.182 194.0412 178.9527 164.0799 149.5748 135.5715 122.1828 109.4975 97.5795 86.4678 76.1789 66.7086 58.0354 50.1238 42.9279 36.3948 30.4682 25.0927 20.2182
304.5394 305.9131 307.3167 308.7507 310.2157 311.7123 313.2409 314.802 316.3959 318.0231 319.6837 321.3779 323.1056 324.8667 326.6608 328.4875 330.3459 332.235 334.1533 336.099 338.07 340.0634 342.0758 344.1032 346.1407 348.1824 350.2215 352.2499 354.258 356.2348 358.1673 360.0406 361.8375 363.5379 365.1192 366.5552 367.8165 368.8695 369.6766 370.1958 370.3803 370.1785 369.5343 368.3871 366.6721 364.3217 361.2661 357.4354 352.7615 347.1809 340.6377 333.0875 324.5009 314.8675 304.1998 292.5355 279.9398 266.5059 252.3537 237.6268 222.4874 207.1108 191.6773 176.3651 161.3429 146.7633 132.7578 119.4331 106.8699 95.1225 84.2201 74.1691 64.9566 56.5537 48.9187 42.0013 35.7454 30.093 24.9869 20.375 16.2144
294.9011 296.4257 297.9854 299.581 301.2133 302.883 304.5909 306.3377 308.1239 309.9502 311.817 313.7246 315.6732 317.663 319.6937 321.7649 323.8761 326.0262 328.2139 330.4374 332.6942 334.9816 337.2957 339.6321 341.9853 344.3486 346.7143 349.0729 351.4132 353.7223 355.9849 358.1829 360.2959 362.2997 364.1669 365.8658 367.3606 368.6105 369.5698 370.1873 370.4066 370.1655 369.3971 368.0295 365.9874 363.1935 359.57 355.0416 349.5385 343.0003 335.3798 326.6479 316.7975 305.8476 293.8463 280.8723 267.0349 252.4715 237.3438 221.8315 206.1247 190.416 174.8915 159.7237 145.0653 131.0438 117.7598 105.2855 93.6657 82.9203 73.0469 64.0247 55.8181 48.3806 41.6584 35.5931 30.1255 25.1976 20.7561 16.7558 13.1639
284.9123 286.579 288.2864 290.0354 291.8271 293.6624 295.5425 297.4683 299.4407 301.4605 303.5285 305.6453 307.8115 310.0274 312.2931 314.6085 316.9731 319.3862 321.8466 324.3525 326.9017 329.491 332.1167 334.7738 337.4564 340.1571 342.867 345.5755 348.2698 350.9348 353.5525 356.102 358.5587 360.8941 363.0752 365.0641 366.8175 368.2865 369.4157 370.1436 370.4023 370.1179 369.2107 367.5968 365.1895 361.9015 357.648 352.3502 345.9401 338.3649 329.5925 319.6163 308.4596 296.1788 282.8649 268.6429 253.6682 238.1217 222.202 206.1167 190.0724 174.2663 158.8774 144.0606 129.9423 116.6186 104.1551 92.589 81.9317 72.1728 63.284 55.2233 47.9391 41.3736 35.4655 30.1536 25.3784 21.0854 17.2266 13.7648 10.6764
276.3711 278.16 279.9941 281.8746 283.8027 285.7798 287.8072 289.8858 292.0171 294.2019 296.4414 298.7365 301.0879 303.4961 305.9616 308.4845 311.0645 313.7011 316.3932 319.1391 321.9365 324.7825 327.673 330.6028 333.5656 336.5535 339.5568 342.5637 345.5601 348.5291 351.4506 354.3009 357.0523 359.6722 362.123 364.3613 366.3375 367.9952 369.2709 370.0942 370.3872 370.0656 369.0394 367.2146 364.4952 360.7866 355.9992 350.0537 342.8856 334.452 324.7367 313.7554 301.5602 288.2409 273.9251 258.7754 242.9826 226.7587 210.3262 193.9076 177.7155 161.9431 146.7572 132.2941 118.6567 105.9151 94.1085 83.2487 73.324 64.3042 56.1446 48.7905 42.1809 36.2517 30.9385 26.179 21.9151 18.0948 14.6747 11.6228 8.9214
