"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41"
11.8763 15.2921 19.721 25.4598 32.8796 42.4317 54.6418 70.0819 89.3037 112.7203 140.4294 172.0057 206.3351 241.6045 275.5386 305.8602 330.8036 349.4517 361.7738 368.4142 370.3813 368.772 364.5927 358.6767 351.667 344.0348 336.1124 328.1254 320.2221 312.496 305.0026 297.772 290.8175 284.1412 277.7387 271.6014 265.7182 260.0773 254.6661 249.4725 244.4844
11.9149 15.3356 19.7695 25.5131 32.9375 42.4937 54.707 70.149 89.3711 112.7859 140.4908 172.0607 206.3822 241.6433 275.5698 305.8856 330.8254 349.4718 361.7937 368.4346 370.4024 368.7936 364.6147 358.6989 351.6889 344.0565 336.1335 328.1459 320.242 312.5152 305.0211 297.7899 290.8346 284.1577 277.7546 271.6166 265.7329 260.0913 254.6796 249.4855 244.4969
11.9551 15.381 19.82 25.5688 32.998 42.5585 54.7751 70.2189 89.4408 112.8528 140.5518 172.1128 206.4228 241.671 275.5845 305.8888 330.8195 349.4595 361.7773 368.4159 370.3826 368.7735 364.5947 358.679 351.6693 344.0371 336.1144 328.1271 320.2234 312.4968 305.0029 297.7718 290.8167 284.1399 277.7369 271.599 265.7154 260.074 254.6624 249.4683 244.4798
11.9969 15.4282 19.8728 25.6271 33.0616 42.6267 54.8472 70.2935 89.516 112.9261 140.6207 172.1747 206.4758 241.7145 275.6193 305.9167 330.843 349.4808 361.798 368.4369 370.4043 368.7959 364.6175 358.7019 351.6922 344.0596 336.1365 328.1485 320.2442 312.5168 305.0222 297.7904 290.8346 284.1572 277.7535 271.615 265.7307 260.0887 254.6765 249.4819 244.4929
12.0403 15.4774 19.9278 25.6879 33.1279 42.698 54.9225 70.3712 89.5938 113.0012 140.6897 172.234 206.5227 241.7472 275.6378 305.9226 330.8389 349.4697 361.7825 368.419 370.3853 368.7765 364.5982 358.6829 351.6735 344.0413 336.1184 328.1307 320.2265 312.4993 305.0049 297.7732 290.8175 284.1401 277.7365 271.5981 265.714 260.072 254.6599 249.4653 244.4764
12.0854 15.5285 19.9851 25.7514 33.1975 42.7731 55.0021 70.4538 89.6774 113.0831 140.7668 172.3035 206.5823 241.7961 275.6766 305.9533 330.8642 349.4921 361.804 368.4408 370.4078 368.7997 364.6219 358.7068 351.6973 344.0647 336.1414 328.1531 320.2482 312.5203 305.0251 297.7927 290.8363 284.1582 277.7539 271.6148 265.73 260.0874 254.6747 249.4796 244.4901
12.1323 15.5817 20.0449 25.8177 33.2701 42.8514 55.0851 70.5398 89.764 113.167 140.8444 172.3709 206.6361 241.8343 275.6992 305.9621 330.862 349.4823 361.7894 368.4236 370.3895 368.7811 364.6035 358.6887 351.6795 344.0473 336.1242 328.1362 320.2315 312.5038 305.0087 297.7764 290.82 284.142 277.7378 271.5988 265.714 260.0715 254.6588 249.4637 244.4743
12.1809 15.6371 20.1072 25.887 33.3462 42.9338 55.1727 70.6312 89.8567 113.2582 140.9306 172.4487 206.7029 241.889 275.7423 305.9958 330.8893 349.506 361.8119 368.4461 370.4127 368.8051 364.628 358.7135 351.7043 344.0718 336.1483 328.1596 320.2542 312.5258 305.0299 297.7968 290.8397 284.1609 277.756 271.6163 265.7308 260.0876 254.6743 249.4786 244.4886
12.2314 15.6946 20.172 25.9592 33.4255 43.0198 55.2642 70.7263 89.9529 113.352 141.0177 172.5248 206.7643 241.9334 275.7696 306.0078 330.8893 349.4976 361.7982 368.4298 370.3952 368.7874 364.6105 358.6964 351.6876 344.0555 336.1322 328.1438 320.2386 312.5102 305.0145 297.7815 290.8244 284.1457 277.7408 271.601 265.7156 260.0724 254.6591 249.4634 244.4734
12.2838 15.7545 20.2396 26.0346 33.5086 43.1101 55.3606 70.8272 90.0557 113.4534 141.1139 172.6119 206.8392 241.9945 275.8176 306.0449 330.9188 349.5228 361.8217 368.4531 370.4191 368.8121 364.6359 358.7221 351.7134 344.081 336.1573 328.1683 320.2624 312.5333 305.0367 297.8029 290.8451 284.1655 277.7599 271.6194 265.7333 260.0894 254.6754 249.4791 244.4885
12.3382 15.8167 20.3099 26.1131 33.5953 43.2042 55.4612 70.9322 90.1623 113.5577 141.2113 172.6975 206.9089 242.0457 275.8499 306.0604 330.921 349.5158 361.809 368.4375 370.4024 368.7952 364.6193 358.706 351.6977 344.0658 336.1424 328.1536 320.2479 312.5189 305.0224 297.7886 290.8308 284.1513 277.7456 271.6051 265.7189 260.0751 254.6611 249.4647 244.4741
12.3947 15.8814 20.3831 26.195 33.6858 43.3028 55.5667 71.0425 90.2745 113.6678 141.3144 172.7884 206.9831 242.1005 275.885 306.0778 330.9245 349.5096 361.7969 368.4224 370.3861 368.7788 364.6032 358.6905 351.6827 344.0512 336.1281 328.1395 320.2339 312.505 305.0086 297.7748 290.817 284.1375 277.7318 271.5913 265.7051 260.0612 254.6472 249.4508 244.4601
12.4533 15.9486 20.4593 26.2805 33.7805 43.4062 55.6777 71.1592 90.394 113.7863 141.4272 172.891 207.0715 242.1726 275.9412 306.1206 330.9577 349.5371 361.822 368.447 370.4113 368.8048 364.63 358.7178 351.7101 344.0784 336.1549 328.1658 320.2595 312.5298 305.0325 297.7979 290.8392 284.1589 277.7524 271.6111 265.7241 260.0794 254.6647 249.4676 244.4763
12.5141 16.0184 20.5386 26.3696 33.8792 43.514 55.7934 71.2807 90.5181 113.9085 141.5422 172.9929 207.1554 242.2353 275.9821 306.1421 330.9638 349.5325 361.8109 368.4327 370.3958 368.7893 364.6149 358.7033 351.6962 344.065 336.1419 328.1529 320.2468 312.5172 305.02 297.7853 290.8266 284.1462 277.7396 271.5982 265.7112 260.0665 254.6517 249.4545 244.4632
12.5772 16.091 20.6212 26.4624 33.9822 43.6268 55.9146 71.4083 90.6485 114.0372 141.6635 173.1008 207.2445 242.3022 276.0263 306.1659 330.9714 349.5289 361.8005 368.4189 370.3807 368.7742 364.6003 358.6894 351.6829 344.0522 336.1295 328.1408 320.2348 312.5052 305.008 297.7734 290.8146 284.1341 277.7274 271.586 265.6989 260.054 254.6391 249.4419 244.4504
12.6427 16.1665 20.7071 26.5592 34.0899 43.7449 56.0421 71.5429 90.7871 114.1752 141.7956 173.2213 207.3485 242.3871 276.0921 306.2153 331.0089 349.5591 361.8273 368.4447 370.4071 368.8016 364.6287 358.7183 351.7122 344.0814 336.1583 328.169 320.2623 312.5319 305.0338 297.7983 290.8386 284.1572 277.7497 271.6074 265.7194 260.0738 254.6581 249.4602 244.468
12.7107 16.2448 20.7965 26.6599 34.2021 43.8681 56.175 71.6832 90.9311 114.3178 141.9306 173.3419 207.4488 242.4631 276.1431 306.2438 331.0195 349.5573 361.818 368.4318 370.3929 368.7874 364.6151 358.7056 351.7002 344.07 336.1472 328.1582 320.2517 312.5214 305.0232 297.7876 290.8278 284.1463 277.7387 271.5962 265.7081 260.0624 254.6466 249.4485 244.4562
12.7812 16.3263 20.8895 26.765 34.3194 43.9972 56.3146 71.8311 91.0838 114.4704 142.077 173.4758 207.5646 242.5576 276.2161 306.2982 331.0601 349.5894 361.846 368.4586 370.4201 368.8157 364.6445 358.7357 351.7307 344.1005 336.1775 328.1879 320.2806 312.5495 305.0504 297.8139 290.8531 284.1707 277.7621 271.6188 265.7298 260.0832 254.6666 249.4678 244.4747
12.8544 16.4109 20.9863 26.8744 34.4416 44.1317 56.4601 71.9852 91.2425 114.6282 142.227 173.6104 207.6772 242.6436 276.2747 306.3319 331.0741 349.5896 361.838 368.4466 370.4068 368.8025 364.6321 358.7242 351.72 344.0905 336.1679 328.1786 320.2715 312.5403 305.0413 297.8046 290.8438 284.1612 277.7524 271.6089 265.7197 260.073 254.6562 249.4572 244.4639
12.9303 16.4988 21.0869 26.9884 34.569 44.2722 56.6124 72.1467 91.4091 114.7941 142.385 173.7526 207.7964 242.7351 276.3373 306.3684 331.0898 349.591 361.8307 368.4351 370.3939 368.7898 364.6202 358.7134 351.7101 344.0812 336.1591 328.1702 320.2631 312.532 305.0329 297.7961 290.8351 284.1523 277.7433 271.5996 265.7103 260.0633 254.6464 249.4471 244.4537
13.0091 16.5901 21.1917 27.1071 34.702 44.419 56.7718 72.3159 91.584 114.9685 142.5513 173.9026 207.9224 242.8322 276.4042 306.4078 331.1074 349.5934 361.8241 368.424 370.3814 368.7775 364.6089 358.7031 351.7008 344.0727 336.1512 328.1625 320.2556 312.5245 305.0253 297.7884 290.8272 284.1442 277.735 271.5911 265.7015 260.0543 254.6371 249.4377 244.444
13.0909 16.6851 21.3007 27.2309 34.8409 44.5727 56.9389 72.4941 91.7689 115.1544 142.7306 174.0673 208.0653 242.9488 276.4939 306.4738 331.1554 349.6299 361.8548 368.4527 370.4104 368.8078 364.6405 358.7359 351.7342 344.1063 336.1845 328.1954 320.2878 312.5558 305.0556 297.8177 290.8554 284.1714 277.7612 271.6163 265.7258 260.0776 254.6595 249.4592 244.4647
13.1758 16.7837 21.414 27.3597 34.9855 44.7328 57.1132 72.6797 91.9613 115.3469 142.9149 174.2341 208.2063 243.0581 276.57 306.5196 331.1771 349.6348 361.8496 368.4427 370.3989 368.7966 364.6304 358.727 351.7265 344.0995 336.1783 328.1894 320.282 312.55 305.0497 297.8116 290.8492 284.1649 277.7544 271.6092 265.7184 260.07 254.6516 249.451 244.4563
13.2639 16.8862 21.5319 27.4939 35.1364 44.9 57.2955 72.8741 92.1631 115.5491 143.1088 174.41 208.3552 243.1739 276.651 306.5688 331.2009 349.6409 361.8452 368.4332 370.3878 368.7859 364.6209 358.7189 351.7196 344.0935 336.1729 328.1845 320.2771 312.5452 305.0448 297.8064 290.8437 284.1592 277.7484 271.6028 265.7117 260.063 254.6443 249.4434 244.4484
