 Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
2001 60 58 91 72 94 52 54 78 64 111 81 70
2002 55 72 71 70 61 51 80 82 97 107 142 81
2003 92 106 126 78 86 69 91 91 64 83 83 55
2004 67 82 121 84 102 77 83 102 77 59 86 67
2005 59 86 84 102 75 57 82 126 107 123 138 94
2006 88 78 105 91 106 68 85 106 95 80 101 67
2007 78 81 96 68 94 67 66 88 71 84 74 64
2008 79 75 66 81 74 45 82 91 85 74 77 61
2009 53 79 105 81 68 67 64 73 75 76 85 48
2010 51 74 94 64 60 51 54 70 69 68 64 43
2011 66 67 83 77 71 67 58 90 73 59 78 72
2012 71 82 80 64 82 60 83 77 76 60 49 52
2013 54 53 80 83 52 52 79 61 71 61 78 47
2014 61 79 51 63 51 45 61 63 83 63 60 40
2015 64 53 79 43 55 47 48 66 48 48 46 48
2016 39 43 54 34 50 38 38 67 35 44 48 41
2017 40 46 54 43 43 53 45 68 65 44 58 47
2018 64 42 72 62 51 42 43 64 47 48 76 40
2019 63 70 56 54 59 51 60 65 80 85 65 49
2020 57 62 61 16 21 19 35 25 60 63 51 30
2021 35 53 56 41 44 41 32 33 17 5 5 5
